YearMonthDay,Infected person(Accumulation),Patient(Accumulation),Discharge(Accumulation),Deceased(Accumulation),Severely ill(Accumulation),Infected person(Previous day difference),Patient(Previous day difference),Discharge(Previous day difference),Deceased(Previous day difference),Severely ill(Previous day difference),Infected person(growthRate)
20200206,16,16,4,0,0,0,0,0,0,0,0
20200207,16,16,4,0,0,0,0,0,0,0,0
20200208,16,16,4,0,0,0,0,0,0,0,0
20200209,16,16,4,0,0,0,0,0,0,0,0
20200210,16,16,9,0,0,0,0,5,0,0,0
20200211,16,16,9,0,0,0,0,0,0,0,0
20200212,16,16,10,0,0,0,0,1,0,0,0
20200213,17,17,11,0,0,1,1,1,0,0,0.0625
20200214,21,21,11,1,0,4,4,0,0,0,0.23529411764705888
20200215,21,21,11,1,0,0,0,0,0,0,0
20200216,21,21,11,1,0,0,0,0,0,0,0
20200217,46,38,12,1,3,25,17,1,0,0,1.1904761904761907
20200218,53,44,12,1,3,7,6,0,0,0,0.15217391304347827
20200219,60,50,14,1,6,7,6,2,0,3,0.13207547169811318
20200220,70,60,16,1,7,10,10,2,0,1,0.16666666666666674
20200221,79,69,16,1,9,9,9,0,0,2,0.12857142857142856
20200222,90,80,17,1,10,11,11,1,0,1,0.139240506329114
20200223,114,102,17,1,11,24,22,0,0,1,0.2666666666666666
20200224,126,114,17,1,13,12,12,0,0,2,0.10526315789473695
20200225,140,128,18,1,14,14,14,1,0,1,0.11111111111111116
20200226,149,136,23,1,15,9,8,5,0,1,0.06428571428571428
20200227,171,156,30,3,16,22,20,7,2,1,0.1476510067114094
20200228,195,180,30,4,20,24,24,0,1,4,0.14035087719298245
20200229,215,197,31,5,22,20,17,1,1,2,0.10256410256410264
20200301,224,206,31,5,23,9,9,0,0,1,0.041860465116279055
20200302,239,221,32,6,23,15,15,1,1,0,0.06696428571428581
20200303,253,230,35,6,24,14,9,3,0,1,0.05857740585774063
20200304,269,246,37,6,24,16,16,2,0,0,0.06324110671936767
20200305,302,276,38,6,27,33,30,1,0,3,0.12267657992565062
20200306,333,302,56,6,30,31,26,18,0,3,0.10264900662251653
20200307,392,355,63,6,28,59,53,7,0,-2,0.17717717717717707
20200308,439,397,67,6,27,47,42,4,0,-1,0.11989795918367352
20200309,472,427,88,7,33,33,30,21,1,6,0.0751708428246014
20200310,498,446,89,9,31,26,19,1,2,-2,0.05508474576271194
20200311,552,492,103,12,26,54,46,14,3,-5,0.10843373493975905
20200312,604,542,108,15,29,52,50,5,3,3,0.09420289855072461
20200313,659,591,120,19,32,55,49,12,4,3,0.0910596026490067
20200314,699,629,129,21,35,40,38,9,2,3,0.060698027314112224
20200315,762,681,142,22,36,63,52,13,1,1,0.09012875536480691
20200316,794,702,149,24,41,32,21,7,2,5,0.04199475065616798
20200317,809,717,156,28,46,15,15,7,4,5,0.018891687657430767
20200318,853,758,176,29,46,44,41,20,1,0,0.05438813349814575
20200319,892,794,200,31,49,39,36,24,2,3,0.04572098475967179
20200320,928,829,212,33,50,36,35,12,2,1,0.04035874439461873
20200321,981,871,217,35,55,53,42,5,2,5,0.05711206896551735
20200322,1015,907,257,36,57,34,36,40,1,2,0.03465851172273182
20200323,1057,944,270,41,54,42,37,13,5,-3,0.04137931034482767
20200324,1095,980,285,42,55,38,36,15,1,1,0.03595080416272478
20200325,1160,1039,294,43,57,65,59,9,1,2,0.05936073059360725
20200326,1253,1119,343,45,56,93,80,49,2,-1,0.08017241379310347
20200327,1349,1191,356,46,56,96,72,13,1,0,0.07661612130885875
20200328,1453,1251,388,49,60,104,60,32,3,4,0.07709414381022972
20200329,1647,1352,408,52,59,194,101,20,3,-1,0.13351686166551957
20200330,1820,1420,408,54,59,173,68,0,2,0,0.1050394656952034
20200331,1887,1466,408,56,59,67,46,0,2,0,0.036813186813186904
20200401,2107,1594,456,57,60,220,128,48,1,1,0.11658717541070485
20200402,2306,1693,489,60,62,199,99,33,3,2,0.09444708115804468
20200403,2541,1808,498,63,64,235,115,9,3,2,0.10190806591500423
20200404,2845,2017,559,69,69,304,209,61,6,5,0.11963793781975607
